topic_a,topic_b,cutoff_year,prediction_window_start,prediction_window_end,adamic_adar_score,common_neighbour_count,degree_a,degree_b,jaccard_coefficient,preferential_attachment,weighted_degree_a,weighted_degree_b,true_label,predicted_label,prediction_score,error_type,rank
https://openalex.org/T10887,https://openalex.org/T11213,2015,2016,2020,3.056029027736634,8,23,12,0.2962962962962963,276,50.0,18.0,0,1,0.9994903862625582,false_positive,1
https://openalex.org/T10434,https://openalex.org/T10887,2015,2016,2020,2.3312483571229747,6,9,23,0.23076923076923078,207,14.0,50.0,0,1,0.9985580040595572,false_positive,2
https://openalex.org/T10604,https://openalex.org/T10887,2015,2016,2020,2.2248834329785345,6,8,23,0.24,184,20.0,50.0,0,1,0.9984154638075531,false_positive,3
https://openalex.org/T10269,https://openalex.org/T10885,2015,2016,2020,1.9918801154769432,5,9,25,0.1724137931034483,225,10.0,62.0,0,1,0.9973038245353061,false_positive,4
https://openalex.org/T11162,https://openalex.org/T11948,2015,2016,2020,2.733820028593919,6,13,17,0.25,221,28.0,24.0,0,1,0.9969622878396647,false_positive,5
https://openalex.org/T10521,https://openalex.org/T11791,2015,2016,2020,2.235923387510314,6,18,12,0.25,216,50.0,32.0,0,1,0.9963306697283172,false_positive,6
https://openalex.org/T10521,https://openalex.org/T11213,2015,2016,2020,2.3340267900307596,6,18,12,0.25,216,50.0,18.0,0,1,0.9949746119786872,false_positive,7
https://openalex.org/T10222,https://openalex.org/T11970,2015,2016,2020,2.1525587641076585,6,11,9,0.42857142857142855,99,16.0,20.0,0,1,0.9945267877486564,false_positive,8
https://openalex.org/T10521,https://openalex.org/T10932,2015,2016,2020,2.217307401483999,6,18,6,0.3333333333333333,108,50.0,8.0,0,1,0.9945091211399139,false_positive,9
https://openalex.org/T10751,https://openalex.org/T10887,2015,2016,2020,1.6213153886165055,4,4,23,0.17391304347826086,92,4.0,50.0,0,1,0.99232887738765,false_positive,10
https://openalex.org/T10261,https://openalex.org/T10521,2015,2016,2020,1.7427165523077233,5,17,18,0.16666666666666666,306,32.0,50.0,0,1,0.9920793890792368,false_positive,11
https://openalex.org/T10621,https://openalex.org/T10887,2015,2016,2020,1.6171839544740914,4,6,23,0.16,138,6.0,50.0,0,1,0.991068425292966,false_positive,12
https://openalex.org/T10120,https://openalex.org/T10887,2015,2016,2020,1.6640405430510523,4,6,23,0.16,138,10.0,50.0,0,1,0.9909699935862545,false_positive,13
https://openalex.org/T10434,https://openalex.org/T10885,2015,2016,2020,1.4590963523853098,4,9,25,0.13333333333333333,225,14.0,62.0,0,1,0.9906216295919928,false_positive,14
